team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;% of defeats in overtime;goals_ratio
Nashville Predators;1998;28;47;0;34.1;190;261;-71;0.0;0.73
New Jersey Devils;1998;47;24;0;57.3;248;196;52;0.0;1.27
New York Islanders;1998;24;48;0;29.3;194;244;-50;0.0;0.8
New York Rangers;1998;33;38;0;40.2;217;227;-10;0.0;0.96
Ottawa Senators;1998;44;23;0;53.7;239;179;60;0.0;1.34
Philadelphia Flyers;1998;37;26;0;45.1;231;196;35;0.0;1.18
Phoenix Coyotes;1998;39;31;0;47.6;205;197;8;0.0;1.04
Pittsburgh Penguins;1998;38;30;0;46.3;242;225;17;0.0;1.08
San Jose Sharks;1998;31;33;0;37.8;196;191;5;0.0;1.03
St. Louis Blues;1998;37;32;0;45.1;237;209;28;0.0;1.13
Tampa Bay Lightning;1998;19;54;0;23.2;179;292;-113;0.0;0.61
Toronto Maple Leafs;1998;45;30;0;54.9;268;231;37;0.0;1.16
Vancouver Canucks;1998;23;47;0;28.0;192;258;-66;0.0;0.74
Washington Capitals;1998;31;45;0;37.8;200;218;-18;0.0;0.92
Mighty Ducks of Anaheim;1999;34;33;3;41.5;217;227;-10;8.33;0.96
